
Loaded 700 winning trades across the last 30 days
Found 116 unique winning traders


🏆 MOST CONSISTENT WINNERS (last 30 days)

  #   Name                    Wins    Total $     ROI  Profile
  ----------------------------------------------------------------------
  1   Lumbering-Material        33 $79,273.92 2201.3%  https://polymarket.com/profile/0x1c0f3e4c90a48e4dd93d0abcdf719a5a5f1599d0
  2   Wary-Tragedy              25 $170,455.13   42.0%  https://polymarket.com/profile/0xc4c3c42ba5460c8d1309aed95e703f0420db2e3f
  3   Charming-Metabolite       19 $307,595.13 4117.1%  https://polymarket.com/profile/0x880d2b8f3df6881150d1ef1a1f2ac0767e39adb6
  4   Uncomfortable-Smith       17 $270,085.77 19034.9%  https://polymarket.com/profile/0x4d3e14cdd0aa30e3cf20e1e57d49263c69d12e20
  5   0x510881deb8...           14 $105,654.71 99891.0%  https://polymarket.com/profile/0x510881deb8cf9da419ca9f74dd8d066e702d83b4
  6   Canine-Anything           14 $34,276.36 10907.7%  https://polymarket.com/profile/0x8bad0e57ff8b8ec449f3611e2735e9ab860cb337
  7   Swift-Surface             14 $236,239.36 4282.8%  https://polymarket.com/profile/0x21b864b4a635136409bc4f499d470bb912fab2f1
  8   Hateful-Safety            13 $58,342.96 14502.0%  https://polymarket.com/profile/0x1ad6c4a3369ab671c40f4637d29d49446a6f669e
  9   0x09b051b47d...           12 $664,730.65 99903.9%  https://polymarket.com/profile/0x09b051b47d75c125ca025bef34293645be41fb66
  10  Unhealthy-Bog             11 $57,696.48 11070.8%  https://polymarket.com/profile/0xcbbc5e035504421b084ad9248b660f6e9618b5d0
  11  Incredible-Receptor       10 $49,855.34 10974.3%  https://polymarket.com/profile/0x686880eea810fa9141be46a1acec9eee41755198
  12  Discrete-Senate            9 $126,541.80 85115.9%  https://polymarket.com/profile/0x713b141cd18376bd78c77e12305d45a0001dc916
  13  Torn-Gap                   8 $283,278.98 10897.0%  https://polymarket.com/profile/0x3b5ed55a6c006fe8c4bd6a9e97fbc1b342384033
  14  Upbeat-Fee                 7 $191,693.18 99907.8%  https://polymarket.com/profile/0xf1faf3f6ad1e0264d6cbecc1a416e7c536be047d
  15  Limping-Shape              7 $132,874.00 99905.3%  https://polymarket.com/profile/0x81035115a389a085e36255e5cb9b9ab8ee3723a1
  16  0x113b44e9eb...            7 $1,528,541.91 99900.8%  https://polymarket.com/profile/0x113b44e9eb584b34fd5e3dc61bf5b765ccba3048
  17  Diligent-Paradise          7 $1,885,216.20 99898.6%  https://polymarket.com/profile/0x56546735d4e9a0039b0cc15f1b5061fd1a33068a
  18  Focused-Marshmallow        7 $173,559.82 72497.8%  https://polymarket.com/profile/0xed3c91115e83eaad1132dcb6edaa185f21ae017b
  19  Corny-Heating              7 $33,187.00 49905.3%  https://polymarket.com/profile/0x94c81ef08355518456bf8e5cda2f15b3c0af0231
  20  Majestic-Shorts            7 $100,888.48 49905.3%  https://polymarket.com/profile/0x690b047e69f139d3acd9a985ab582df1f1cc9145
  21  Darling-Imitation          7 $404,252.38 48734.5%  https://polymarket.com/profile/0xd60c551492ca0b2ee6cbc9aac8e4df4c64b5f46c
  22  Ironclad-Herbs             7 $31,231.27 24897.4%  https://polymarket.com/profile/0x6c2be10fb07747a3c751c77774938a15fbcf36f4
  23  Modern-Moon                7 $73,452.96 24661.1%  https://polymarket.com/profile/0x53ea09023844c725a159f6c2c7b9d491e107a65f
  24  Impure-Treaty              7 $28,050.75 20925.6%  https://polymarket.com/profile/0x28d24229dcdc2f9355c90c41c088774c98475621
  25  Fortunate-Fly              7 $13,237.77 20161.1%  https://polymarket.com/profile/0x1bc64666ac7ff862ad03bcbe93754ade1f62c936
  26  Unsteady-Metaphor          7 $33,800.76 17044.4%  https://polymarket.com/profile/0x7f0f5e5b5d2b0abccf25cc01cd648702690acba6
  27  0x4876a8fcd2...            7 $13,429.64 12613.5%  https://polymarket.com/profile/0x4876a8fcd2df24f7a757a2795e412fbc2270e72a
  28  Ancient-Android            7 $141,757.77 11472.4%  https://polymarket.com/profile/0xb846800eb25279462d402541f9a29f0712de034d
  29  Lawful-Serial              7 $10,988.81 11008.6%  https://polymarket.com/profile/0xf0587af44973936b50901aa60084cc1e2dafe173
  30  Bountiful-Requirement-Cauliflower     7 $25,413.08 10706.1%  https://polymarket.com/profile/0xcc062a4a06f21bb0f4c383ddcc51c4b2d6e80db6


